project,subproject,rca,program_title,yr3_forecast,yr2_forecast,yr1_forecast,yr0_plan,yr1_approp,yr2_oblig,key
project-11,subproject-35,rca-16,program-102,11646,5852.02,5426.82,3639.21,3936.7,3429.17,project-11-subproject-35-rca-16program-102
project-5,subproject-26,rca-48,program-21,26043,16973.52,15310.93,16835.85,10851.5,9092.85,project-5-subproject-26-rca-48program-21
project-19,subproject-31,rca-73,program-116,24880,14161.69,12647.23,15927.53,13268.13,12246.0,project-19-subproject-31-rca-73program-116
project-9,subproject-39,rca-28,program-75,20593,12871.47,13287.34,12413.42,8230.57,7535.21,project-9-subproject-39-rca-28program-75
project-18,subproject-18,rca-49,program-10,22131,20572.74,18827.78,16214.35,17257.33,15652.14,project-18-subproject-18-rca-49program-10
project-14,subproject-29,rca-77,program-39,12373,15211.87,17105.98,15221.65,18199.16,17379.32,project-14-subproject-29-rca-77program-39
project-14,subproject-12,rca-68,program-50,29683,20025.44,23547.21,28464.19,22855.57,20887.33,project-14-subproject-12-rca-68program-50
project-7,subproject-35,rca-26,program-7,18171,10472.31,10136.79,9361.23,7346.9,6928.38,project-7-subproject-35-rca-26program-7
project-11,subproject-37,rca-7,program-75,17721,9857.44,9228.32,8406.47,8736.1,7849.08,project-11-subproject-37-rca-7program-75
project-5,subproject-38,rca-40,program-44,21642,15173.68,14897.6,14427.01,14931.14,14162.0,project-5-subproject-38-rca-40program-44
project-17,subproject-39,rca-36,program-12,8786,9249.48,8094.07,5637.54,4171.18,3763.3,project-17-subproject-39-rca-36program-12
project-10,subproject-10,rca-41,program-74,2747,2517.78,2476.24,2827.61,2306.5,2167.97,project-10-subproject-10-rca-41program-74
project-17,subproject-37,rca-6,program-97,4161,2731.04,2353.31,2801.16,3212.86,2696.82,project-17-subproject-37-rca-6program-97
project-2,subproject-11,rca-64,program-86,6089,6737.98,7655.17,4894.56,5415.78,4501.86,project-2-subproject-11-rca-64program-86
project-4,subproject-19,rca-70,program-60,18424,16516.1,13953.98,11933.63,7632.49,6209.29,project-4-subproject-19-rca-70program-60
project-12,subproject-10,rca-9,program-92,3588,1805.65,1919.57,1458.9,1485.87,1313.15,project-12-subproject-10-rca-9program-92
project-12,subproject-37,rca-20,program-115,14797,15053.77,16745.36,21092.66,24827.16,22123.15,project-12-subproject-37-rca-20program-115
project-7,subproject-34,rca-47,program-49,27453,16627.76,13697.12,17321.07,17259.66,17004.49,project-7-subproject-34-rca-47program-49
project-12,subproject-27,rca-8,program-71,13086,8229.73,9799.47,11968.55,13945.85,11211.63,project-12-subproject-27-rca-8program-71
project-9,subproject-13,rca-60,program-43,19355,23986.82,24755.09,21962.67,25487.85,24231.57,project-9-subproject-13-rca-60program-43
project-7,subproject-32,rca-67,program-85,10108,7263.23,6967.78,5655.41,6084.99,5007.22,project-7-subproject-32-rca-67program-85
project-9,subproject-37,rca-49,program-38,25574,21350.63,23655.17,14262.34,15665.98,12830.06,project-9-subproject-37-rca-49program-38
project-3,subproject-5,rca-9,program-8,8818,9211.84,9692.07,9402.07,6576.73,6189.26,project-3-subproject-5-rca-9program-8
project-15,subproject-17,rca-33,program-30,4899,5485.16,4529.71,5158.5,4792.93,4739.81,project-15-subproject-17-rca-33program-30
project-5,subproject-37,rca-47,program-62,8869,7275.9,8655.65,5781.08,4474.55,4221.33,project-5-subproject-37-rca-47program-62
project-3,subproject-2,rca-79,program-1,18552,23210.93,25413.81,27513.43,16962.9,14569.43,project-3-subproject-2-rca-79program-1
project-10,subproject-10,rca-50,program-70,16382,18310.63,15687.28,15406.21,15392.31,14764.06,project-10-subproject-10-rca-50program-70
project-12,subproject-6,rca-4,program-91,27853,17366.47,18495.23,17482.16,20920.7,17339.28,project-12-subproject-6-rca-4program-91
project-20,subproject-38,rca-74,program-112,22971,12476.7,11854.57,8689.77,7610.41,6634.96,project-20-subproject-38-rca-74program-112
project-4,subproject-8,rca-55,program-87,2622,1388.2,1289.27,841.64,818.38,702.43,project-4-subproject-8-rca-55program-87
project-3,subproject-17,rca-20,program-53,18247,10704.25,12124.23,8809.98,5427.0,5180.55,project-3-subproject-17-rca-20program-53
project-8,subproject-12,rca-4,program-59,8012,6183.72,5772.43,4782.12,5064.88,5050.16,project-8-subproject-12-rca-4program-59
project-10,subproject-21,rca-26,program-73,5078,2839.25,2906.5,3178.58,2962.12,2602.47,project-10-subproject-21-rca-26program-73
project-8,subproject-4,rca-9,program-111,29808,38272.5,35360.24,44137.8,29797.69,28482.29,project-8-subproject-4-rca-9program-111
project-4,subproject-23,rca-30,program-70,12436,13614.17,13579.66,12639.25,12517.27,11515.86,project-4-subproject-23-rca-30program-70
project-18,subproject-40,rca-6,program-43,12859,11893.06,14105.75,12746.44,13223.59,12240.8,project-18-subproject-40-rca-6program-43
project-12,subproject-10,rca-59,program-107,15873,20356.66,22237.6,25118.22,26844.33,22079.58,project-12-subproject-10-rca-59program-107
project-11,subproject-29,rca-46,program-120,10470,7216.78,8395.85,8195.93,7257.58,6610.4,project-11-subproject-29-rca-46program-120
project-2,subproject-10,rca-18,program-22,20527,21675.22,22291.16,18776.57,17715.92,16204.19,project-2-subproject-10-rca-18program-22
project-11,subproject-19,rca-56,program-97,6671,6699.7,6732.63,6668.42,7099.66,6447.49,project-11-subproject-19-rca-56program-97
project-14,subproject-5,rca-6,program-74,18225,13911.95,15864.73,19970.12,13679.06,12383.17,project-14-subproject-5-rca-6program-74
project-4,subproject-26,rca-68,program-80,10508,8065.98,8590.76,9127.14,8809.32,8583.96,project-4-subproject-26-rca-68program-80
project-13,subproject-20,rca-36,program-28,10592,10427.63,8495.92,6426.98,7523.18,6026.95,project-13-subproject-20-rca-36program-28
project-18,subproject-34,rca-41,program-82,23763,29314.54,31586.01,37708.54,36909.72,30885.78,project-18-subproject-34-rca-41program-82
project-4,subproject-37,rca-44,program-88,20195,12165.63,10465.41,6944.37,5736.59,4817.5,project-4-subproject-37-rca-44program-88
project-17,subproject-14,rca-69,program-41,24960,15023.74,13557.62,13034.01,12927.94,12043.73,project-17-subproject-14-rca-69program-41
project-8,subproject-35,rca-75,program-14,20146,14275.29,17008.89,10612.67,8662.45,7474.59,project-8-subproject-35-rca-75program-14
project-16,subproject-3,rca-18,program-87,21002,17407.68,14053.01,15119.02,11898.66,11716.58,project-16-subproject-3-rca-18program-87
project-10,subproject-32,rca-32,program-85,19028,20048.42,20363.97,13853.29,13485.85,12768.47,project-10-subproject-32-rca-32program-85
project-18,subproject-5,rca-50,program-68,24419,12521.96,11763.66,12407.08,7534.86,6526.53,project-18-subproject-5-rca-50program-68
project-3,subproject-34,rca-54,program-53,22700,13203.83,10921.77,12454.27,12796.04,10866.82,project-3-subproject-34-rca-54program-53
project-10,subproject-21,rca-38,program-3,7601,4713.19,5573.16,4682.37,4794.77,4265.4,project-10-subproject-21-rca-38program-3
project-6,subproject-25,rca-7,program-8,15185,7984.52,6931.51,6415.09,5901.21,4993.78,project-6-subproject-25-rca-7program-8
project-15,subproject-18,rca-45,program-18,7596,4942.13,5504.37,5452.45,5196.09,4716.21,project-15-subproject-18-rca-45program-18
project-1,subproject-3,rca-21,program-79,17304,19671.05,20527.89,24183.13,15835.69,15372.92,project-1-subproject-3-rca-21program-79
project-8,subproject-36,rca-67,program-42,14107,10627.24,11684.93,10669.61,12723.75,11197.8,project-8-subproject-36-rca-67program-42
project-11,subproject-4,rca-26,program-105,28614,26201.95,26704.87,22014.31,17022.87,14973.45,project-11-subproject-4-rca-26program-105
project-14,subproject-17,rca-24,program-76,26954,17049.25,18494.56,13228.88,8090.61,6664.01,project-14-subproject-17-rca-24program-76
project-1,subproject-3,rca-31,program-99,18005,12447.93,13499.55,14382.64,15731.48,15693.52,project-1-subproject-3-rca-31program-99
project-15,subproject-20,rca-55,program-46,12447,11131.26,12325.27,15708.35,18454.44,15820.64,project-15-subproject-20-rca-55program-46
project-11,subproject-15,rca-21,program-95,18612,17155.41,20079.09,15937.08,11543.3,9797.66,project-11-subproject-15-rca-21program-95
project-2,subproject-3,rca-61,program-21,24471,24879.96,21259.08,15080.92,10023.74,9938.5,project-2-subproject-3-rca-61program-21
project-14,subproject-35,rca-24,program-83,7337,8939.62,8822.94,11130.87,13095.1,12006.89,project-14-subproject-35-rca-24program-83
project-14,subproject-9,rca-53,program-38,9447,5972.85,5972.02,4941.92,4177.02,3688.55,project-14-subproject-9-rca-53program-38
project-18,subproject-13,rca-25,program-101,16837,9333.74,7642.94,5838.4,5934.3,4998.46,project-18-subproject-13-rca-25program-101
project-15,subproject-26,rca-48,program-59,19993,21182.04,18876.23,18800.99,18372.07,15188.35,project-15-subproject-26-rca-48program-59
project-15,subproject-31,rca-42,program-70,2598,2918.42,2872.05,2075.3,1738.87,1523.47,project-15-subproject-31-rca-42program-70
project-12,subproject-38,rca-59,program-72,2397,2285.13,2721.32,2814.61,2898.46,2585.52,project-12-subproject-38-rca-59program-72
project-4,subproject-34,rca-62,program-70,23720,20686.18,20293.47,23521.55,23931.22,19532.79,project-4-subproject-34-rca-62program-70
project-13,subproject-26,rca-15,program-67,15646,20147.97,21071.27,16269.39,10406.38,8525.15,project-13-subproject-26-rca-15program-67
project-15,subproject-17,rca-64,program-84,21137,13735.9,15565.07,11502.51,13553.55,13137.73,project-15-subproject-17-rca-64program-84
project-7,subproject-21,rca-20,program-71,29889,18557.8,15057.72,11049.56,10117.06,9427.04,project-7-subproject-21-rca-20program-71
project-16,subproject-19,rca-68,program-67,26279,24211.85,22283.06,18003.99,17566.06,15580.0,project-16-subproject-19-rca-68program-67
project-15,subproject-37,rca-41,program-103,16954,8478.26,7079.9,4790.34,4780.11,3994.54,project-15-subproject-37-rca-41program-103
project-2,subproject-11,rca-18,program-41,2775,1676.53,1344.64,1032.98,816.69,763.38,project-2-subproject-11-rca-18program-41
project-4,subproject-32,rca-62,program-80,8222,7595.59,8815.6,10015.67,8963.71,7434.29,project-4-subproject-32-rca-62program-80
project-17,subproject-37,rca-38,program-106,20344,14967.23,12102.74,13682.01,16253.68,14800.59,project-17-subproject-37-rca-38program-106
project-10,subproject-15,rca-47,program-97,17136,9390.13,9841.84,6428.95,6997.51,5624.5,project-10-subproject-15-rca-47program-97
project-2,subproject-1,rca-14,program-101,2009,2488.67,2644.7,2592.62,2707.25,2518.54,project-2-subproject-1-rca-14program-101
project-20,subproject-34,rca-16,program-56,18305,19820.09,20843.91,24413.83,26133.82,24877.18,project-20-subproject-34-rca-16program-56
project-4,subproject-16,rca-36,program-93,26910,20432.87,16421.45,20435.22,19958.53,19421.02,project-4-subproject-16-rca-36program-93
project-5,subproject-38,rca-40,program-101,2321,1266.04,1133.2,838.84,974.69,920.91,project-5-subproject-38-rca-40program-101
project-17,subproject-2,rca-44,program-15,2469,2435.83,2257.4,2624.41,2933.12,2505.99,project-17-subproject-2-rca-44program-15
project-10,subproject-27,rca-1,program-59,25648,13772.13,11148.43,12743.61,12264.81,12060.56,project-10-subproject-27-rca-1program-59
project-14,subproject-17,rca-52,program-86,6090,4454.23,4816.57,3517.43,3321.24,2874.88,project-14-subproject-17-rca-52program-86
project-2,subproject-24,rca-53,program-115,29385,35838.27,37747.38,28406.59,28814.65,25121.18,project-2-subproject-24-rca-53program-115
project-15,subproject-39,rca-60,program-38,21370,12848.04,14082.26,14786.51,10891.57,9171.52,project-15-subproject-39-rca-60program-38
project-20,subproject-3,rca-39,program-120,15285,16348.04,18590.1,16339.41,10350.09,10052.67,project-20-subproject-3-rca-39program-120
project-5,subproject-38,rca-65,program-78,7245,7527.58,7512.94,6588.81,5473.02,4403.39,project-5-subproject-38-rca-65program-78
project-9,subproject-1,rca-24,program-63,27535,35141.99,34644.01,22833.34,26165.33,22934.13,project-9-subproject-1-rca-24program-63
project-19,subproject-15,rca-37,program-17,2655,2948.59,2767.38,2803.94,2218.21,2157.78,project-19-subproject-15-rca-37program-17
project-1,subproject-38,rca-27,program-120,7064,9015.42,9254.66,6513.81,4575.63,4404.41,project-1-subproject-38-rca-27program-120
project-3,subproject-8,rca-47,program-62,8791,11406.48,9141.73,9336.66,9234.12,8280.09,project-3-subproject-8-rca-47program-62
project-4,subproject-27,rca-31,program-25,13655,13553.53,14083.01,11076.02,10631.47,10048.59,project-4-subproject-27-rca-31program-25
project-19,subproject-27,rca-65,program-111,17738,21951.71,22177.18,15948.07,18579.67,17055.08,project-19-subproject-27-rca-65program-111
project-3,subproject-19,rca-12,program-2,18500,13252.27,11303.66,7294.74,4449.16,3949.9,project-3-subproject-19-rca-12program-2
project-1,subproject-31,rca-47,program-56,9566,6771.6,6382.14,3850.39,3044.34,3006.42,project-1-subproject-31-rca-47program-56
project-17,subproject-32,rca-6,program-27,26857,21122.27,18673.06,15310.56,15396.31,12819.7,project-17-subproject-32-rca-6program-27
project-2,subproject-19,rca-14,program-16,27770,28105.71,29417.83,32593.15,27054.98,24954.73,project-2-subproject-19-rca-14program-16
project-16,subproject-9,rca-17,program-66,16125,15329.21,16953.7,10841.4,10687.72,10269.38,project-16-subproject-9-rca-17program-66
project-11,subproject-9,rca-37,program-93,11624,9558.08,8327.08,9736.33,7489.21,7069.63,project-11-subproject-9-rca-37program-93
project-17,subproject-6,rca-26,program-90,27036,22624.5,25580.7,18923.93,21701.02,18663.97,project-17-subproject-6-rca-26program-90
project-20,subproject-9,rca-11,program-4,16596,17997.93,16825.02,10664.83,9177.99,9041.12,project-20-subproject-9-rca-11program-4
project-1,subproject-13,rca-23,program-77,21656,20569.95,16594.99,13138.32,11565.02,11011.36,project-1-subproject-13-rca-23program-77
project-13,subproject-15,rca-68,program-32,11191,6409.38,5141.14,4928.08,4613.52,4093.75,project-13-subproject-15-rca-68program-32
project-5,subproject-27,rca-11,program-113,4480,3125.47,3182.17,2321.27,2015.59,1768.86,project-5-subproject-27-rca-11program-113
project-12,subproject-15,rca-4,program-63,13294,8564.18,6968.72,7958.45,4804.17,4004.02,project-12-subproject-15-rca-4program-63
project-16,subproject-38,rca-39,program-91,4048,2064.33,2308.74,2488.18,2785.15,2556.91,project-16-subproject-38-rca-39program-91
project-4,subproject-22,rca-69,program-55,26167,25174.11,25165.55,27225.45,20502.71,20329.7,project-4-subproject-22-rca-69program-55
project-10,subproject-13,rca-1,program-71,19408,21486.11,22974.16,16642.74,13743.59,13003.57,project-10-subproject-13-rca-1program-71
project-18,subproject-9,rca-13,program-71,22656,18728.4,17337.85,17125.24,11582.03,9910.52,project-18-subproject-9-rca-13program-71
project-14,subproject-28,rca-74,program-3,3222,3294.85,2860.24,1820.15,2135.55,2134.65,project-14-subproject-28-rca-74program-3
project-6,subproject-21,rca-40,program-88,15238,17712.2,14391.96,11730.86,9530.43,7739.66,project-6-subproject-21-rca-40program-88
project-10,subproject-23,rca-19,program-37,3269,3578.32,3635.05,4270.64,4979.71,4391.1,project-10-subproject-23-rca-19program-37
project-17,subproject-4,rca-37,program-3,27593,20930.17,21664.58,17055.28,16932.19,13980.02,project-17-subproject-4-rca-37program-3
project-13,subproject-6,rca-41,program-21,1127,1407.68,1590.11,1938.52,2067.0,1940.53,project-13-subproject-6-rca-41program-21
project-9,subproject-30,rca-65,program-102,6839,4399.17,4154.52,3224.03,3129.71,2768.31,project-9-subproject-30-rca-65program-102
project-7,subproject-8,rca-80,program-120,20476,13150.46,13175.23,11439.17,10249.41,8769.35,project-7-subproject-8-rca-80program-120
project-7,subproject-15,rca-45,program-75,19439,24918.07,28902.93,19604.88,22002.76,19561.21,project-7-subproject-15-rca-45program-75
project-20,subproject-26,rca-47,program-32,19040,15398.88,12724.74,16040.12,15491.48,14329.65,project-20-subproject-26-rca-47program-32
project-18,subproject-19,rca-30,program-22,10883,10522.84,10771.98,13349.41,9044.76,8247.03,project-18-subproject-19-rca-30program-22
project-8,subproject-12,rca-58,program-77,6483,7672.93,7404.45,5039.01,5103.11,5075.47,project-8-subproject-12-rca-58program-77
project-18,subproject-38,rca-32,program-109,22443,16861.02,18481.1,12467.71,14341.1,12004.44,project-18-subproject-38-rca-32program-109
project-14,subproject-22,rca-60,program-25,14497,14140.77,13205.78,8157.43,4946.07,4077.09,project-14-subproject-22-rca-60program-25
project-20,subproject-25,rca-3,program-117,1019,854.44,884.83,643.59,750.56,743.9,project-20-subproject-25-rca-3program-117
project-12,subproject-8,rca-28,program-113,3233,3366.27,3841.05,2693.11,2614.26,2095.9,project-12-subproject-8-rca-28program-113
project-6,subproject-8,rca-61,program-87,4995,2685.99,2431.27,2748.2,3249.33,3186.65,project-6-subproject-8-rca-61program-87
project-12,subproject-11,rca-68,program-71,1602,1130.55,1328.7,1043.79,774.59,632.72,project-12-subproject-11-rca-68program-71
project-19,subproject-27,rca-48,program-37,17952,14317.98,13501.38,13931.98,14116.41,14079.23,project-19-subproject-27-rca-48program-37
